LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,QGDP,TOT,PC_CHGPP,Q,2018-Q4,0.700312956,
KOR,QGDP,TOT,PC_CHGPP,Q,2019-Q1,-0.198579317,
KOR,QGDP,TOT,PC_CHGPP,Q,2019-Q2,1.059905534,
KOR,QGDP,TOT,PC_CHGPP,Q,2019-Q3,0.527437881,
KOR,QGDP,TOT,PC_CHGPP,Q,2019-Q4,1.271115777,
KOR,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-1.337455717,
KOR,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-3.026935758,
KOR,QGDP,TOT,PC_CHGPP,Q,2020-Q3,2.347785538,
KOR,QGDP,TOT,PC_CHGPP,Q,2020-Q4,1.213742846,
KOR,QGDP,TOT,PC_CHGPP,Q,2021-Q1,1.724067239,P
KOR,QGDP,TOT,PC_CHGPP,Q,2021-Q2,0.833347929,P
KOR,QGDP,TOT,PC_CHGPP,Q,2021-Q3,0.213238983,P
KOR,QGDP,TOT,PC_CHGPP,Q,2021-Q4,1.33777574,P
KOR,QGDP,TOT,PC_CHGPP,Q,2022-Q1,0.633967885,
KOR,QGDP,TOT,PC_CHGPP,Q,2022-Q2,0.739266758,
KOR,QGDP,TOT,PC_CHGPP,Q,2022-Q3,0.322829368,
KOR,QGDP,TOT,PC_CHGPP,Q,2022-Q4,-0.405779059,
AUS,QGDP,TOT,PC_CHGPP,Q,2018-Q4,0.181309338,
AUS,QGDP,TOT,PC_CHGPP,Q,2019-Q1,0.546689404,
AUS,QGDP,TOT,PC_CHGPP,Q,2019-Q2,0.467051497,
AUS,QGDP,TOT,PC_CHGPP,Q,2019-Q3,0.735377349,
AUS,QGDP,TOT,PC_CHGPP,Q,2019-Q4,0.43242573,
AUS,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-0.168598931,
AUS,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-6.698536857,
AUS,QGDP,TOT,PC_CHGPP,Q,2020-Q3,3.876566221,
AUS,QGDP,TOT,PC_CHGPP,Q,2020-Q4,3.218108013,
AUS,QGDP,TOT,PC_CHGPP,Q,2021-Q1,2.095771949,
AUS,QGDP,TOT,PC_CHGPP,Q,2021-Q2,0.761315198,
AUS,QGDP,TOT,PC_CHGPP,Q,2021-Q3,-1.955563734,
AUS,QGDP,TOT,PC_CHGPP,Q,2021-Q4,3.658784146,
AUS,QGDP,TOT,PC_CHGPP,Q,2022-Q1,0.571061184,
AUS,QGDP,TOT,PC_CHGPP,Q,2022-Q2,0.901970005,
AUS,QGDP,TOT,PC_CHGPP,Q,2022-Q3,0.684904073,
AUS,QGDP,TOT,PC_CHGPP,Q,2022-Q4,0.479896426,
ISL,QGDP,TOT,PC_CHGPP,Q,2018-Q4,2.670331951,
ISL,QGDP,TOT,PC_CHGPP,Q,2019-Q1,-0.619228742,
ISL,QGDP,TOT,PC_CHGPP,Q,2019-Q2,0.424519614,
ISL,QGDP,TOT,PC_CHGPP,Q,2019-Q3,-1.09733248,
ISL,QGDP,TOT,PC_CHGPP,Q,2019-Q4,2.787268386,
ISL,QGDP,TOT,PC_CHGPP,Q,2020-Q1,-6.052123546,
ISL,QGDP,TOT,PC_CHGPP,Q,2020-Q2,-6.668670574,
ISL,QGDP,TOT,PC_CHGPP,Q,2020-Q3,3.140361555,
