"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2018-02",5.563826,
"AUS","HUR","TOT","PC_LF","M","2018-03",5.511079,
"AUS","HUR","TOT","PC_LF","M","2018-04",5.537025,
"AUS","HUR","TOT","PC_LF","M","2018-05",5.39522,
"AUS","HUR","TOT","PC_LF","M","2018-06",5.326868,
"AUS","HUR","TOT","PC_LF","M","2018-07",5.306441,
"AUS","HUR","TOT","PC_LF","M","2018-08",5.288859,
"AUS","HUR","TOT","PC_LF","M","2018-09",5.03224,
"AUS","HUR","TOT","PC_LF","M","2018-10",5.012892,
"AUS","HUR","TOT","PC_LF","M","2018-11",5.117329,
"AUS","HUR","TOT","PC_LF","M","2018-12",5.021056,
"AUS","HUR","TOT","PC_LF","M","2019-01",5.050217,
"AUS","HUR","TOT","PC_LF","M","2019-02",4.963396,
"AUS","HUR","TOT","PC_LF","M","2019-03",5.081419,
"AUS","HUR","TOT","PC_LF","M","2019-04",5.216838,
"AUS","HUR","TOT","PC_LF","M","2019-05",5.210408,
"AUS","HUR","TOT","PC_LF","M","2019-06",5.256328,
"AUS","HUR","TOT","PC_LF","M","2019-07",5.289326,
"AUS","HUR","TOT","PC_LF","M","2019-08",5.279706,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.216949,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.3056,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.170403,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.060143,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.263382,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.071489,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.204711,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.318486,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.014503,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.431618,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.542412,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.839165,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.934672,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.970949,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.839288,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.577179,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.326331,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.785464,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.608397,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.418609,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.05966,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.971931,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.711011,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.570825,
"AUS","HUR","TOT","PC_LF","M","2021-09",4.672573,
"AUS","HUR","TOT","PC_LF","M","2021-10",5.247878,
"AUS","HUR","TOT","PC_LF","M","2021-11",4.605766,
"AUS","HUR","TOT","PC_LF","M","2021-12",4.169153,
"AUS","HUR","TOT","PC_LF","M","2022-01",4.155449,
"AUS","HUR","TOT","PC_LF","M","2022-02",3.997987,
"AUS","HUR","TOT","PC_LF","M","2022-03",3.919003,
"AUS","HUR","TOT","PC_LF","M","2022-04",3.875884,
"AUS","HUR","TOT","PC_LF","M","2022-05",3.911304,
"AUS","HUR","TOT","PC_LF","M","2022-06",3.571127,
"AUS","HUR","TOT","PC_LF","M","2022-07",3.458718,
"AUS","HUR","TOT","PC_LF","M","2022-08",3.513817,
"AUS","HUR","TOT","PC_LF","M","2022-09",3.572022,
"AUS","HUR","TOT","PC_LF","M","2022-10",3.422228,
"AUS","HUR","TOT","PC_LF","M","2022-11",3.47103,
"AUS","HUR","TOT","PC_LF","M","2022-12",3.520137,
"AUS","HUR","TOT","PC_LF","M","2023-01",3.668073,
"AUS","HUR","TOT","PC_LF","M","2023-02",3.540562,
"AUT","HUR","TOT","PC_LF","M","2018-02",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-03",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-04",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-05",4.6,
"AUT","HUR","TOT","PC_LF","M","2018-06",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-08",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-09",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-10",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-11",4.7,
"AUT","HUR","TOT","PC_LF","M","2018-12",5.2,
"AUT","HUR","TOT","PC_LF","M","2019-01",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-02",5,
"AUT","HUR","TOT","PC_LF","M","2019-03",5,
"AUT","HUR","TOT","PC_LF","M","2019-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-05",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-06",4.6,
"AUT","HUR","TOT","PC_LF","M","2019-07",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2019-09",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-10",5,
"AUT","HUR","TOT","PC_LF","M","2019-11",4.1,
"AUT","HUR","TOT","PC_LF","M","2019-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.3,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2020-04",6.1,
"AUT","HUR","TOT","PC_LF","M","2020-05",7,
"AUT","HUR","TOT","PC_LF","M","2020-06",7.9,
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,
"AUT","HUR","TOT","PC_LF","M","2020-09",6.5,
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,
"AUT","HUR","TOT","PC_LF","M","2020-11",5.8,
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,
"AUT","HUR","TOT","PC_LF","M","2021-01",7.6,
"AUT","HUR","TOT","PC_LF","M","2021-02",7,
"AUT","HUR","TOT","PC_LF","M","2021-03",6.4,
"AUT","HUR","TOT","PC_LF","M","2021-04",7.3,
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,
"AUT","HUR","TOT","PC_LF","M","2021-07",6.1,
"AUT","HUR","TOT","PC_LF","M","2021-08",6,
"AUT","HUR","TOT","PC_LF","M","2021-09",4.9,
"AUT","HUR","TOT","PC_LF","M","2021-10",5.9,
"AUT","HUR","TOT","PC_LF","M","2021-11",5.1,
"AUT","HUR","TOT","PC_LF","M","2021-12",4.8,
"AUT","HUR","TOT","PC_LF","M","2022-01",4.7,
"AUT","HUR","TOT","PC_LF","M","2022-02",4.8,
